OTU,Ground.abund,Ground.PA,Under.abund,Under.PA,Trns
OTU97_2895,0,0,6.03957283429255,3,1
OTU97_2897,0,0,8.84641478835064,4,1
OTU97_2906,0,0,3.54681090755222,2,1
OTU97_2913,0,0,3.72646124309023,2,1
OTU97_2960,0,0,4.52284715519189,2,1
OTU97_2971,0,0,5.99563531067221,2,1
OTU97_2981,0,0,6.14286863565351,4,1
OTU97_2999,0,0,26.8462878733167,6,1
OTU97_3014,0,0,9.57530738989467,3,1
OTU97_3017,0,0,11.074401978823,5,1
OTU97_3020,0,0,7.4378505498495,4,1
OTU97_3054,0,0,3.35957488844331,2,1
OTU97_3076,0,0,12.4038845353466,3,1
